Pattern #1 Target #2760 Run completed: 0 solutions; 10 fail nodes; 11 nodes; 0 milliseconds
Pattern #1 Target #2761 Run completed: 0 solutions; 12 fail nodes; 30 nodes; 0 milliseconds
Pattern #1 Target #2765 Run completed: 0 solutions; 4 fail nodes; 3 nodes; 0 milliseconds
Pattern #1 Target #2771 Run completed: 0 solutions; 24 fail nodes; 49 nodes; 0 milliseconds
Pattern #1 Target #2775 Run completed: 0 solutions; 14 fail nodes; 31 nodes; 0 milliseconds
Pattern #1 Target #2788 Run completed: 0 solutions; 3 fail nodes; 1 nodes; 0 milliseconds
Pattern #1 Target #2798 Run completed: 0 solutions; 6 fail nodes; 5 nodes; 0 milliseconds
Pattern #1 Target #2801 Run completed: 0 solutions; 22 fail nodes; 50 nodes; 0 milliseconds
Pattern #1 Target #2833 Run completed: 0 solutions; 54 fail nodes; 118 nodes; 1 milliseconds
Pattern #1 Target #2858 Run completed: 0 solutions; 3 fail nodes; 3 nodes; 0 milliseconds
fail 5: P#1 T#2917
Pattern #1 Target #2917 Run completed: 0 solutions; 0 fail nodes; 0 nodes; 0 milliseconds
Pattern #1 Target #2918 Run completed: 0 solutions; 10 fail nodes; 11 nodes; 0 milliseconds
Pattern #1 Target #2963 Run completed: 1 solutions; 2 fail nodes; 10 nodes; 0 milliseconds
Pattern #1 Target #2964 Run completed: 1 solutions; 1 fail nodes; 10 nodes; 0 milliseconds
Pattern #1 Target #2965 Run completed: 1 solutions; 7 fail nodes; 26 nodes; 0 milliseconds
Pattern #1 Target #2966 Run completed: 1 solutions; 1 fail nodes; 10 nodes; 0 milliseconds
Pattern #1 Target #2968 Run completed: 1 solutions; 2 fail nodes; 10 nodes; 0 milliseconds
Pattern #1 Target #2969 Run completed: 1 solutions; 1 fail nodes; 10 nodes; 0 milliseconds
Pattern #1 Target #2972 Run completed: 1 solutions; 2 fail nodes; 10 nodes; 0 milliseconds
Pattern #1 Target #2978 Run completed: 1 solutions; 1 fail nodes; 10 nodes; 0 milliseconds
Pattern #1 Target #2979 Run completed: 1 solutions; 1 fail nodes; 10 nodes; 1 milliseconds
Pattern #1 Target #2982 Run completed: 1 solutions; 1 fail nodes; 10 nodes; 0 milliseconds
Pattern #1 Target #3051 Run completed: 0 solutions; 2 fail nodes; 1 nodes; 0 milliseconds
Pattern #1 Target #3053 Run completed: 0 solutions; 136 fail nodes; 191 nodes; 0 milliseconds
Pattern #1 Target #3055 Run completed: 0 solutions; 41 fail nodes; 72 nodes; 0 milliseconds
fail 1: P#1 T#3060
Pattern #1 Target #3060 Run completed: 0 solutions; 0 fail nodes; 0 nodes; 1 milliseconds
Pattern #1 Target #3061 Run completed: 1 solutions; 25 fail nodes; 47 nodes; 0 milliseconds
Pattern #1 Target #3062 Run completed: 1 solutions; 25 fail nodes; 47 nodes; 0 milliseconds
Pattern #1 Target #3069 Run completed: 0 solutions; 26 fail nodes; 54 nodes; 0 milliseconds
